FromPartyAb,Right,Votes
CYA,2.1218178752920207,41521
TNL,1.4405236198064884,3514
KHOUW,1.5327783558792925,961
ON,2.2607954272539508,41638
LDP,2.0886222661028953,46591
DPDA,1.3021868787276343,1006
AUVA,1.4990999099909992,2222
UAPP,2.2151973008654835,27268
AJP,1.1221403644823575,10316
IMO,1.9494886245042788,4791
KHAN,1.732463295269168,1839
CEC,1.6361281968274521,3089
SOPA,0.6603053435114504,2620
GAP,2.379492334757477,3979
AUD,1.3298969072164948,485
AUSTRALIE,1.4099722991689752,361
SAL,0.7205623901581723,1138
SPP,1.3205574912891986,287
NANDA,1.515771526001705,1173
GRN,1.5074116305587228,3508
DHJP,1.8942891859052249,823
SACKLEY,1.485785536159601,2005
ADAMSON AGARS,1.7339449541284404,109
PEARCE,1.9080717488789238,2230
SHARPLES,1.7556818181818181,176
VNS,1.0202511138112595,2469
PAYNTER,1.2893500391542678,2554
